guid,anverso,reverso,etiquetas
same-side-shift,"Si varios resultados de control suben y permanecen sobre la media, ¿que debe sospecharse primero?","Un desplazamiento sistematico, como deriva de calibracion, cambio de lote de reactivo o ajuste del <span class=""semantic semantic-instrument""><span class=""semantic-label"">Instrumento</span> instrumento</span>.",westgard qc laboratorio-clinico educacion error-sistematico
wide-scatter,"Si una grafica muestra dispersion amplia arriba y abajo de la media sin direccion estable, ¿que tipo de error es mas probable?","Error aleatorio, sobre todo si el patron activa <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> R-4s</span> o eventos aislados de <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-3s</span>.",westgard qc laboratorio-clinico educacion error-aleatorio
post-maintenance-review,¿Por que deben revisarse con cuidado los controles despues del mantenimiento del analizador?,Porque el mantenimiento puede cambiar la linea basal del sistema y hacer visible un nuevo sesgo o un aumento de imprecision.,westgard qc laboratorio-clinico educacion flujo-laboratorio
specimen-versus-control,"¿Por que un resultado estable de <span class=""semantic semantic-qc""><span class=""semantic-label"">Control de calidad</span> control de calidad</span> no garantiza que toda <span class=""semantic semantic-specimen""><span class=""semantic-label"">Muestra</span> muestra de paciente</span> este libre de error?","Porque el control de calidad vigila el sistema analitico, pero aun pueden existir problemas preanaliticos o propios de la muestra.",westgard qc laboratorio-clinico educacion flujo-laboratorio
reagent-lot-change,Se introduce un nuevo lote de reactivo y ambos controles se desplazan hacia arriba. ¿Que explicacion es la mas plausible?,"Un efecto sistematico relacionado con el lote. Debe verificarse la calibracion, comparar con el lote previo y considerar <span class=""semantic semantic-rejection""><span class=""semantic-label"">Rechazo</span> retener resultados</span> hasta explicar el cambio.",westgard qc laboratorio-clinico educacion flujo-laboratorio
delta-check-context,"¿Como complementan los delta checks al <span class=""semantic semantic-qc""><span class=""semantic-label"">Control de calidad</span> control de calidad</span> interno?",Ayudan a detectar cambios inesperados en datos de pacientes y agregan una comprobacion clinica que el control de calidad por si solo no aporta.,westgard qc laboratorio-clinico educacion flujo-laboratorio
multi-rule-rationale,¿Por que las reglas de Westgard suelen usarse como estrategia <em>multirregla</em>?,Porque combinarlas mejora el equilibrio entre deteccion de error y falso rechazo frente a distintos patrones de falla.,westgard qc laboratorio-clinico educacion reglas-westgard
reject-run-action,"Si se activa una regla clara de <span class=""semantic semantic-rejection""><span class=""semantic-label"">Rechazo</span> rechazo</span>, ¿cual es la accion inmediata mas segura?",<strong>No liberar</strong> los resultados afectados hasta investigar la causa y restablecer un desempeno aceptable del control.,westgard qc laboratorio-clinico educacion toma-de-decision
control-levels,¿Por que muchos laboratorios procesan mas de un nivel de control?,Porque distintos niveles pueden revelar problemas dependientes de la concentracion que no se observan con un solo nivel.,westgard qc laboratorio-clinico educacion flujo-laboratorio
manual-review-note,¿Que debe documentarse despues de un evento importante de control de calidad?,"El patron observado, la causa probable, la accion correctiva y la decision sobre repetir o retener el reporte de pacientes.",westgard qc laboratorio-clinico educacion documentacion
